original_Line Code,original_Direction,original_Stop Code,original_Stop ID,original_Chinese Name,original_English Name,original_Sequence,lat,lon,formatted,name,street,postcode,suburb,city,county,state,country,country_code,confidence,attribution,attribution_license,attribution_url
705,2,TYU,510,天悅,Tin Yuet,2,22.46282467,114.0016673,"Tin Yuet, Tin Wah Road, Tin Shui Wai North, Yuen Long District, Hong Kong, China",Tin Yuet,Tin Wah Road,,Tin Shui Wai North,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,2,TSA,520,天秀,Tin Sau,3,22.46554051,114.0029727,"Tin Sau Road, Tin Shui Wai North, Yuen Long District, Hong Kong, China",Tin Sau,Tin Sau Road,,Tin Shui Wai North,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,2,WEP,530,濕地公園,Wetland Park,4,22.46960218,114.0025651,"Wetland Park Road, Tin Shui Wai North, Yuen Long District, Hong Kong, China",Wetland Park,Wetland Park Road,,Tin Shui Wai North,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,2,THE,540,天恒,Tin Heng,5,22.46970455,114.0007393,"Tin Heng, Tin Shui Road, Tin Shui Wai North, Yuen Long District, Hong Kong, China",Tin Heng,Tin Shui Road,,Tin Shui Wai North,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,2,TYA,550,天逸,Tin Yat,6,22.46673327,113.9992521,"Tin Yat, Tin Shui Road, Tin Shui Wai North, Yuen Long District, Hong Kong, China",Tin Yat,Tin Shui Road,,Tin Shui Wai North,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,2,TFU,480,天富,Tin Fu,7,22.46452878,113.9975921,"Tin Fu, Tin Shui Road, Tin Shui Wai North, Yuen Long District, Hong Kong, China",Tin Fu,Tin Shui Road,,Tin Shui Wai North,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,2,CHF,468,頌富,Chung Fu,8,22.46192799,113.997019,"Chung Fu, Tin Shui Road, Tin Shui Wai North, Yuen Long District, Hong Kong, China",Chung Fu,Tin Shui Road,,Tin Shui Wai North,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,2,TSU,460,天瑞,Tin Shui,9,22.45595142,113.9994331,"Tin Shui Road, Tin Shui Wai South, Yuen Long District, Hong Kong, China",Tin Shui,Tin Shui Road,,Tin Shui Wai South,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,2,LOC,448,樂湖,Locwood,10,22.45306367,114.0012039,"Locwood, Tin Wu Road, Tin Shui Wai South, Yuen Long District, Hong Kong, China",Locwood,Tin Wu Road,,Tin Shui Wai South,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
705,2,TIY,445,天耀,Tin Yiu,11,22.45036041,114.0026946,"Tin Yiu Road, Tin Shui Wai South, Yuen Long District, Hong Kong, China",Tin Yiu,Tin Yiu Road,,Tin Shui Wai South,Sheung Cheung Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
751,1,YAO,275,友愛,Yau Oi,1,22.38672092,113.9735992,"Yau Oi Road, Tuen Mun Central, Tuen Mun District, Hong Kong, China",Yau Oi,Yau Oi Road,,Tuen Mun Central,Tuen Mun,Tuen Mun District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
751,1,HMT,425,坑尾村,Hang Mei Tsuen,14,22.44514201,114.0056414,"Hang Mei Tsuen, Ping Ha Road, Ping Shan, Yuen Long District, Hong Kong, China",Hang Mei Tsuen,Ping Ha Road,,Ping Shan,Hang Mei Tsuen,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
751,1,CHE,490,翠湖,Chestwood,20,22.45973369,113.9995378,"Chestwood, Tin Wing Road, Tin Shui Wai South, Yuen Long District, Hong Kong, China",Chestwood,Tin Wing Road,,Tin Shui Wai South,Tin Shui Wai,Yuen Long District,Hong Kong,China,cn,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
